中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,109 ms,239 Mbps,30617 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,123 ms,305 Mbps,39116 kB/s
132.226.31.178,443,2a09:bac1:76e0:e18::26a:8,US,Los Angeles,隧道,69 ms,29 Mbps,3721 kB/s
152.70.52.215,443,152.70.52.215,NL,Amsterdam,中转,88 ms,220 Mbps,28160 kB/s
158.101.175.51,443,158.101.175.51,DE,Frankfurt,中转,96 ms,41 Mbps,5293 kB/s
129.153.126.67,443,2a09:bac5:60ef:78::c:38b,US,Los Angeles,隧道,70 ms,35 Mbps,4518 kB/s
34.82.76.253,443,35.233.242.94,US,Seattle,隧道,73 ms,300 Mbps,38400 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,158 ms,103 Mbps,13209 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,78 ms,271 Mbps,34713 kB/s
129.146.175.160,443,129.146.175.160,US,Los Angeles,中转,69 ms,261 Mbps,33484 kB/s
132.226.208.217,443,2a0b:21c0:100a:1b7:0:34a8:c694:5fea,DE,Frankfurt,隧道,95 ms,113 Mbps,14540 kB/s
8.211.54.130,443,8.211.54.130,DE,Frankfurt,中转,112 ms,37 Mbps,4788 kB/s
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,133 ms,111 Mbps,14233 kB/s
141.144.197.111,443,141.144.197.111,NL,Amsterdam,中转,82 ms,268 Mbps,34406 kB/s
141.147.68.160,443,2a0b:21c0:100a:1b4:0:eb64:6eb2:d5e2,DE,Frankfurt,隧道,93 ms,120 Mbps,15360 kB/s
129.151.148.35,443,2a09:bac1:200:8::3c:16,AE,Dubai,隧道,193 ms,37 Mbps,4782 kB/s
64.110.103.69,443,64.110.103.69,JP,Osaka,中转,207 ms,30 Mbps,3901 kB/s
140.238.28.86,443,140.238.28.86,KR,Seoul,中转,183 ms,85 Mbps,10956 kB/s
141.147.83.38,443,2606:f240:f00:eaf1:0:e2d8:6841:cb79,US,Frankfurt,隧道,90 ms,124 Mbps,15974 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,223 ms,2 Mbps,305 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,187 ms,92 Mbps,11878 kB/s
141.147.184.160,443,141.147.184.160,JP,Tokyo,中转,219 ms,62 Mbps,8056 kB/s
168.138.201.0,443,168.138.201.0,JP,Tokyo,中转,211 ms,36 Mbps,4626 kB/s
144.24.80.56,443,2603:c024:8:5677:6f45:947f:3e3a:1eb8,KR,Seoul,隧道,184 ms,84 Mbps,10752 kB/s
64.110.101.31,443,2a09:bac1:3b60:b8::300:3,JP,Osaka,隧道,214 ms,30 Mbps,3882 kB/s
129.154.207.203,443,2a09:bac1:3f00:90::22:10e,KR,Seoul,隧道,185 ms,83 Mbps,10649 kB/s
