中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,98 ms,172 Mbps,22118 kB/s
129.146.168.102,443,104.28.205.110,US,Los Angeles,隧道,74 ms,40 Mbps,5194 kB/s
130.162.162.154,443,2a0b:21c0:1007:cb:0:3ef7:f596:a073,DE,Frankfurt,隧道,97 ms,151 Mbps,19353 kB/s
132.226.31.178,443,2a09:bac1:76e0:e18::26a:8,US,Los Angeles,隧道,65 ms,38 Mbps,4932 kB/s
64.110.103.69,443,64.110.103.69,JP,Osaka,中转,212 ms,34 Mbps,4451 kB/s
152.67.78.184,443,152.67.78.184,CH,Zurich,中转,104 ms,37 Mbps,4795 kB/s
150.230.249.48,443,150.230.249.48,KR,Seoul,中转,185 ms,77 Mbps,9932 kB/s
130.61.170.78,443,130.61.170.78,DE,Frankfurt,中转,97 ms,70 Mbps,9070 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,189 ms,80 Mbps,10342 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,230 ms,2 Mbps,273 kB/s
144.21.63.163,443,2a0b:21c0:1007:1ca:0:ed3:e40:851f,DE,Frankfurt,隧道,114 ms,112 Mbps,14438 kB/s
141.147.83.38,443,2606:f240:f00:eaf1:0:e2d8:6841:cb79,US,Frankfurt,隧道,104 ms,98 Mbps,12595 kB/s
144.24.80.56,443,2603:c024:8:5677:6f45:947f:3e3a:1eb8,KR,Seoul,隧道,188 ms,76 Mbps,9814 kB/s
64.110.101.31,443,2a09:bac5:4563:1e14::2ff:68,JP,Osaka,隧道,209 ms,31 Mbps,4058 kB/s
158.180.65.13,443,158.180.65.13,KR,Seoul,中转,185 ms,16 Mbps,2113 kB/s
152.70.248.96,443,2a09:bac5:4750:155::22:10b,KR,Seoul,隧道,182 ms,3 Mbps,471 kB/s
152.67.212.141,443,152.67.212.141,KR,Seoul,中转,267 ms,88 Mbps,11264 kB/s
193.122.110.171,443,193.122.110.171,KR,Seoul,中转,183 ms,40 Mbps,5228 kB/s
138.2.56.246,443,138.2.56.246,JP,Osaka,中转,217 ms,69 Mbps,8875 kB/s
34.69.150.180,443,34.69.150.180,US,,中转,46 ms,519 Mbps,66457 kB/s
150.230.6.108,443,150.230.6.108,JP,Osaka,中转,212 ms,64 Mbps,8261 kB/s
141.145.199.188,443,2603:c027:c002:9a00:b670:5cb3:e47d:8c20,FR,,隧道,87 ms,186 Mbps,23859 kB/s
124.156.202.172,443,124.156.202.172,SG,,中转,228 ms,57 Mbps,7390 kB/s
44.230.218.23,443,52.35.136.129,US,,隧道,100 ms,243 Mbps,31129 kB/s
3.138.59.154,443,3.130.64.226,US,,隧道,29 ms,725 Mbps,92876 kB/s
18.192.93.64,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,90 ms,246 Mbps,31539 kB/s
103.137.63.3,443,61.224.90.112,TW,,隧道,187 ms,63 Mbps,8158 kB/s
3.127.55.133,443,3.68.128.205,DE,,隧道,124 ms,237 Mbps,30412 kB/s
3.67.232.136,443,3.68.128.205,DE,,隧道,91 ms,214 Mbps,27443 kB/s
204.110.220.3,443,204.110.220.206,US,,隧道,93 ms,210 Mbps,26931 kB/s
18.191.122.211,443,3.130.64.226,US,,隧道,28 ms,712 Mbps,91238 kB/s
35.183.163.195,443,35.183.105.154,CA,,隧道,28 ms,800 Mbps,102400 kB/s
44.224.24.91,443,44.224.24.91,US,,中转,87 ms,205 Mbps,26316 kB/s
3.68.62.122,443,3.68.128.205,DE,,隧道,93 ms,206 Mbps,26419 kB/s
47.90.141.204,443,91.149.239.122,US,Los Angeles,隧道,72 ms,9 Mbps,1207 kB/s
18.159.105.97,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,91 ms,251 Mbps,32153 kB/s
18.236.13.188,443,204.110.220.101,US,,隧道,86 ms,239 Mbps,30617 kB/s
35.157.240.237,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,92 ms,248 Mbps,31744 kB/s
8.222.67.79,443,8.221.33.175,US,Ashburn,隧道,162 ms,104 Mbps,13414 kB/s
18.156.209.101,443,3.68.128.205,DE,,隧道,90 ms,240 Mbps,30720 kB/s
18.185.254.189,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,168 ms,231 Mbps,29593 kB/s
43.204.146.16,443,43.204.146.16,IN,,中转,201 ms,67 Mbps,8672 kB/s
54.203.85.46,443,204.110.220.36,US,,隧道,89 ms,208 Mbps,26726 kB/s
3.66.115.225,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,173 ms,231 Mbps,29593 kB/s
149.129.8.215,443,47.254.87.121,US,San Jose,隧道,212 ms,0 Mbps,54 kB/s
129.80.123.71,443,2603:c020:4015:a57e:d0c4:7f84:4e62:d43,US,Ashburn,隧道,62 ms,104 Mbps,13312 kB/s
8.218.148.106,443,8.218.148.106,HK,,中转,235 ms,0 Mbps,9 kB/s
129.146.133.33,443,129.146.133.33,US,Los Angeles,中转,146 ms,302 Mbps,38707 kB/s
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,93 ms,188 Mbps,24064 kB/s
168.138.66.11,443,168.138.66.11,CA,Montréal,中转,38 ms,55 Mbps,7100 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,64 ms,48 Mbps,6170 kB/s
152.70.119.237,443,2a09:bac5:6443:28::4:243,US,San Jose,隧道,72 ms,15 Mbps,2009 kB/s
129.153.126.67,443,2a09:bac5:60ef:78::c:38b,US,Los Angeles,隧道,65 ms,34 Mbps,4352 kB/s
150.230.23.156,443,2a0b:21c0:1007:1c8:0:c047:78c2:cc2a,DE,Frankfurt,隧道,259 ms,216 Mbps,27648 kB/s
129.146.47.72,443,104.28.205.110,US,Los Angeles,隧道,65 ms,45 Mbps,5881 kB/s
141.144.200.82,443,2a0b:21c0:1007:ca:0:5746:296f:a0aa,DE,Frankfurt,隧道,90 ms,205 Mbps,26316 kB/s
152.70.57.182,443,152.70.57.182,NL,Amsterdam,中转,84 ms,11 Mbps,1443 kB/s
158.101.175.51,443,158.101.175.51,DE,Frankfurt,中转,112 ms,43 Mbps,5598 kB/s
152.70.52.215,443,152.70.52.215,NL,Amsterdam,中转,83 ms,256 Mbps,32768 kB/s
152.67.146.213,443,2a0b:21c0:100a:1b0:0:2848:e89c:eae5,DE,Frankfurt,隧道,97 ms,129 Mbps,16588 kB/s
140.238.195.98,443,140.238.195.98,AU,Sydney,中转,197 ms,35 Mbps,4593 kB/s
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,99 ms,103 Mbps,13209 kB/s
144.24.78.162,443,144.24.78.162,KR,Seoul,中转,185 ms,54 Mbps,6975 kB/s
8.209.217.106,443,8.209.217.106,JP,Tokyo,中转,158 ms,31 Mbps,3985 kB/s
141.147.184.160,443,141.147.184.160,JP,Tokyo,中转,220 ms,57 Mbps,7361 kB/s
193.122.107.147,443,193.122.107.147,KR,Seoul,中转,184 ms,0 Mbps,107 kB/s
129.154.207.203,443,2a09:bac1:3f00:90::22:10e,KR,Seoul,隧道,182 ms,82 Mbps,10547 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,209 ms,23 Mbps,3015 kB/s
47.57.13.107,443,8.212.22.216,HK,Hong Kong,隧道,236 ms,0 Mbps,27 kB/s
8.210.92.27,443,8.210.92.27,HK,Hong Kong,中转,235 ms,0 Mbps,19 kB/s
129.159.22.4,443,129.159.22.4,IN,Chennai,中转,212 ms,35 Mbps,4525 kB/s
8.213.137.24,443,8.213.137.24,SG,,中转,290 ms,66 Mbps,8459 kB/s
47.88.15.127,443,47.88.15.127,US,San Jose,中转,1075 ms,5 Mbps,708 kB/s
193.123.69.77,443,193.123.69.77,AE,,中转,190 ms,36 Mbps,4734 kB/s
129.159.241.172,443,129.159.241.172,DE,,中转,89 ms,94 Mbps,12083 kB/s
158.178.246.35,443,158.178.246.35,SG,,中转,224 ms,48 Mbps,6195 kB/s
103.137.63.2,443,61.224.125.18,TW,,隧道,187 ms,84 Mbps,10752 kB/s
