中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
168.138.66.11,443,168.138.66.11,CA,Montréal,中转,87 ms,46 Mbps,5992 kB/s
193.122.197.111,443,193.122.197.111,261 Mbps,33484 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,157 ms,115 Mbps,14745 kB/s
141.147.178.154,443,141.147.178.154,JP,Tokyo,中转,163 ms,42 Mbps,5493 kB/s
150.136.240.243,443,150.136.240.243,US,Ashburn,中转,104 ms,132 Mbps,16896 kB/s
140.238.28.86,443,140.238.28.86,KR,Seoul,中转,130 ms,140 Mbps,17920 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,157 ms,114 Mbps,14643 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,78 ms,1 Mbps,240 kB/s
152.70.248.96,443,2a09:bac5:4750:155::22:10b,KR,Seoul,隧道,133 ms,5 Mbps,694 kB/s
158.180.65.13,443,158.180.65.13,KR,Seoul,中转,130 ms,41 Mbps,5356 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,170 ms,3 Mbps,400 kB/s
168.138.201.0,443,168.138.201.0,JP,Tokyo,中转,160 ms,37 Mbps,4765 kB/s
152.70.52.215,443,152.70.52.215,NL,Amsterdam,中转,149 ms,109 Mbps,14028 kB/s
138.2.56.246,443,138.2.56.246,JP,Osaka,中转,155 ms,104 Mbps,13312 kB/s
150.230.6.108,443,150.230.6.108,JP,Osaka,中转,154 ms,100 Mbps,12800 kB/s
193.122.53.69,443,2a0b:21c0:1007:1ca:0:685e:9ceb:b921,DE,Frankfurt,隧道,155 ms,96 Mbps,12288 kB/s
8.210.92.27,443,8.210.92.27,HK,Hong Kong,中转,173 ms,0 Mbps,60 kB/s
152.70.57.182,443,152.70.57.182,NL,Amsterdam,中转,149 ms,1 Mbps,143 kB/s
141.147.184.160,443,141.147.184.160,JP,Tokyo,中转,149 ms,94 Mbps,12083 kB/s
193.122.110.171,443,193.122.110.171,KR,Seoul,中转,315 ms,47 Mbps,6024 kB/s
144.24.78.162,443,144.24.78.162,KR,Seoul,中转,239 ms,65 Mbps,8331 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,149 ms,47 Mbps,6136 kB/s
193.122.107.147,443,193.122.107.147,KR,Seoul,中转,129 ms,5 Mbps,737 kB/s
141.144.197.111,443,141.144.197.111,NL,Amsterdam,中转,153 ms,121 Mbps,15564 kB/s
149.129.8.215,443,47.254.26.25,US,San Jose,隧道,162 ms,3 Mbps,412 kB/s
18.236.13.188,443,204.110.220.101,US,,隧道,22 ms,139 Mbps,17817 kB/s
103.137.63.2,443,61.224.80.208,TW,,隧道,135 ms,124 Mbps,15872 kB/s
103.137.63.3,443,61.224.100.68,TW,,隧道,134 ms,129 Mbps,16588 kB/s
54.203.85.46,443,204.110.220.92,US,,隧道,39 ms,530 Mbps,67891 kB/s
129.159.22.4,443,129.159.22.4,IN,Chennai,中转,214 ms,36 Mbps,4718 kB/s
124.156.202.172,443,124.156.202.172,SG,,中转,167 ms,89 Mbps,11468 kB/s
204.110.220.3,443,204.110.220.206,US,,隧道,71 ms,536 Mbps,68608 kB/s
44.224.24.91,443,44.224.24.91,US,,中转,57 ms,706 Mbps,90419 kB/s
18.191.122.211,443,3.130.64.226,US,,隧道,73 ms,348 Mbps,44646 kB/s
44.230.218.23,443,52.35.136.129,US,,隧道,35 ms,570 Mbps,73011 kB/s
3.138.59.154,443,3.130.64.226,US,,隧道,62 ms,22 Mbps,2843 kB/s
34.69.150.180,443,34.69.150.180,US,,中转,53 ms,367 Mbps,47001 kB/s
141.145.199.188,443,2603:c027:c002:9a00:b670:5cb3:e47d:8c20,FR,,隧道,144 ms,121 Mbps,15564 kB/s
47.57.13.107,443,8.212.23.141,HK,Hong Kong,隧道,178 ms,0 Mbps,16 kB/s
43.204.146.16,443,43.204.146.16,IN,,中转,221 ms,56 Mbps,7253 kB/s
3.68.62.122,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,159 ms,115 Mbps,14745 kB/s
18.159.105.97,443,3.68.128.205,DE,,隧道,158 ms,114 Mbps,14643 kB/s
144.24.80.56,443,2603:c024:8:5677:6f45:947f:3e3a:1eb8,KR,Seoul,隧道,131 ms,138 Mbps,17715 kB/s
129.153.126.67,443,2a09:bac5:60ef:78::c:38b,US,Los Angeles,隧道,85 ms,40 Mbps,5171 kB/s
129.146.133.33,443,129.146.133.33,US,Los Angeles,中转,29 ms,409 Mbps,52428 kB/s
129.146.47.72,443,104.28.237.112,US,Los Angeles,隧道,18 ms,51 Mbps,6610 kB/s
158.101.175.51,443,158.101.175.51,DE,Frankfurt,中转,156 ms,24 Mbps,3195 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,41 ms,60 Mbps,7728 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,150 ms,42 Mbps,5472 kB/s
140.238.158.238,443,140.238.158.238,CA,Toronto,中转,61 ms,15 Mbps,1950 kB/s
18.185.254.189,443,3.68.128.205,DE,,隧道,159 ms,100 Mbps,12800 kB/s
143.47.242.195,443,143.47.242.195,GB,London,中转,141 ms,41 Mbps,5367 kB/s
64.110.101.31,443,2a09:bac5:4563:174b::252:53,JP,Osaka,隧道,154 ms,36 Mbps,4664 kB/s
18.192.93.64,443,3.68.128.205,DE,,隧道,231 ms,95 Mbps,12185 kB/s
152.67.212.141,443,152.67.212.141,KR,Seoul,中转,130 ms,143 Mbps,18329 kB/s
8.211.54.130,443,8.211.54.130,DE,Frankfurt,中转,156 ms,34 Mbps,4463 kB/s
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,160 ms,72 Mbps,9306 kB/s
168.138.212.80,443,168.138.212.80,JP,Tokyo,中转,149 ms,40 Mbps,5244 kB/s
140.238.195.98,443,140.238.195.98,AU,Sydney,中转,243 ms,43 Mbps,5573 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,148 ms,43 Mbps,5583 kB/s
130.61.170.78,443,130.61.170.78,DE,Frankfurt,中转,155 ms,73 Mbps,9374 kB/s
152.67.78.184,443,152.67.78.184,CH,Zurich,中转,165 ms,40 Mbps,5121 kB/s
141.144.207.72,443,2a0b:21c0:100a:1f9:0:7327:ee3e:f22f,DE,Frankfurt,隧道,155 ms,91 Mbps,11673 kB/s
132.226.1.227,443,2603:c021:8001:801:f494:88cb:3117:e10,JP,Tokyo,隧道,153 ms,92 Mbps,11776 kB/s
8.213.137.24,443,8.213.137.24,SG,,中转,128 ms,104 Mbps,13312 kB/s
8.222.67.79,443,8.221.33.172,US,Ashburn,隧道,107 ms,156 Mbps,20070 kB/s
129.151.148.35,443,2a09:bac1:200:8::3c:16,AE,Dubai,隧道,262 ms,25 Mbps,3258 kB/s
144.24.243.207,443,144.24.243.207,CH,,中转,167 ms,70 Mbps,8981 kB/s
193.123.69.77,443,193.123.69.77,AE,,中转,256 ms,13 Mbps,1705 kB/s
3.66.115.225,443,3.68.128.205,DE,,隧道,159 ms,100 Mbps,12902 kB/s
18.156.209.101,443,3.68.128.205,DE,,隧道,0 ms,129 Mbps,16588 kB/s
