中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,149 ms,1 Mbps,213 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,149 ms,106 Mbps,13619 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,159 ms,102 Mbps,13107 kB/s
144.24.78.162,443,144.24.78.162,KR,Seoul,中转,134 ms,73 Mbps,9356 kB/s
130.61.23.77,443,130.61.23.77,,colo.txt:Frankfurt,中转,0 ms,124 Mbps,15974 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,141 ms,47 Mbps,6018 kB/s
138.3.254.39,443,138.3.254.39,114 Mbps,14643 kB/s
138.3.254.39,,,隧道,0 ms,null Mbps,null kB/s
141.147.88.50,443,98.98.156.22,AE,Frankfurt,隧道,155 ms,114 Mbps,14643 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,141 ms,150 Mbps,19251 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,162 ms,122 Mbps,15667 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,172 ms,3 Mbps,424 kB/s
150.230.63.93,443,150.230.63.93,JP,Osaka,中转,159 ms,43 Mbps,5602 kB/s
141.147.68.160,443,2a0b:21c0:100a:1b4:0:eb64:6eb2:d5e2,DE,Frankfurt,隧道,156 ms,96 Mbps,12288 kB/s
140.238.195.98,443,140.238.195.98,AU,Sydney,中转,141 ms,42 Mbps,5490 kB/s
64.110.103.69,443,64.110.103.69,JP,Osaka,中转,161 ms,43 Mbps,5507 kB/s
64.110.75.56,443,2602:ffe4:407:20d9:0:5e11:9010:4441,SG,Singapore,隧道,193 ms,82 Mbps,10547 kB/s
130.61.170.78,443,130.61.170.78,DE,Frankfurt,中转,154 ms,71 Mbps,9111 kB/s
141.147.184.160,443,141.147.184.160,JP,Tokyo,中转,165 ms,99 Mbps,12697 kB/s
130.162.162.154,443,2a0b:21c0:1007:cb:0:3ef7:f596:a073,DE,Frankfurt,隧道,154 ms,77 Mbps,9909 kB/s
193.122.110.171,443,193.122.110.171,KR,Seoul,中转,152 ms,40 Mbps,5159 kB/s
152.67.212.141,443,152.67.212.141,KR,Seoul,中转,133 ms,128 Mbps,16384 kB/s
150.230.6.108,443,150.230.6.108,JP,Osaka,中转,153 ms,102 Mbps,13107 kB/s
141.148.233.42,443,98.98.156.30,AE,Frankfurt,隧道,155 ms,84 Mbps,10854 kB/s
141.144.197.111,443,141.144.197.111,NL,Amsterdam,中转,153 ms,62 Mbps,8007 kB/s
152.70.185.220,443,2a0b:21c0:100a:1b7:0:c18e:fb48:e1f2,DE,Frankfurt,隧道,155 ms,92 Mbps,11776 kB/s
8.213.137.24,443,8.213.137.24,SG,,中转,132 ms,100 Mbps,12800 kB/s
152.70.107.108,443,128.14.104.155,US,Singapore,隧道,169 ms,80 Mbps,10342 kB/s
129.154.207.203,443,2a09:bac1:3f00:90::22:10e,KR,Seoul,隧道,137 ms,152 Mbps,19456 kB/s
152.67.146.213,443,2a0b:21c0:100a:1b0:0:2848:e89c:eae5,DE,Frankfurt,隧道,211 ms,122 Mbps,15667 kB/s
138.3.210.24,443,2603:c021:800d:a344:0:1::,JP,Tokyo,隧道,160 ms,124 Mbps,15974 kB/s
204.110.220.3,443,204.110.220.206,US,,隧道,43 ms,372 Mbps,47616 kB/s
8.218.148.106,443,8.218.148.106,HK,,中转,174 ms,0 Mbps,21 kB/s
103.137.63.3,443,122.118.154.200,TW,,隧道,137 ms,141 Mbps,18124 kB/s
18.236.13.188,443,204.110.220.101,US,,隧道,22 ms,207 Mbps,26521 kB/s
138.2.170.9,443,2606:f240:f00:83a7:0:6655:7d84:16b7,US,Frankfurt,隧道,155 ms,104 Mbps,13414 kB/s
103.137.63.2,443,61.224.82.100,TW,,隧道,156 ms,140 Mbps,17920 kB/s
8.222.67.79,443,8.221.33.175,US,Ashburn,隧道,107 ms,166 Mbps,21299 kB/s
44.230.218.23,443,52.35.136.129,US,,隧道,31 ms,552 Mbps,70656 kB/s
152.70.63.77,443,2606:f240:f00:a683:0:f07e:211a:6705,US,Frankfurt,隧道,160 ms,101 Mbps,13004 kB/s
149.129.8.215,443,47.88.8.186,US,San Jose,隧道,161 ms,3 Mbps,443 kB/s
44.224.24.91,443,44.224.24.91,US,,中转,21 ms,840 Mbps,107520 kB/s
54.203.85.46,443,204.110.220.36,US,,隧道,51 ms,514 Mbps,65843 kB/s
129.159.22.4,443,129.159.22.4,IN,Chennai,中转,215 ms,27 Mbps,3493 kB/s
132.226.31.178,443,2a09:bac1:76e0:e18::26a:8,US,Los Angeles,隧道,96 ms,33 Mbps,4251 kB/s
18.191.122.211,443,3.130.64.226,US,,隧道,63 ms,344 Mbps,44032 kB/s
34.69.150.180,443,34.69.150.180,US,,中转,54 ms,376 Mbps,48128 kB/s
3.138.59.154,443,3.130.64.226,US,,隧道,67 ms,20 Mbps,2581 kB/s
